City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Tacoronte,ES,66.16,scattered clouds,28.4769,-16.4102,Casa Laurel
462,Mayo,US,70.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
464,Nikki,BJ,72.1,overcast clouds,9.9401,3.2108,Monnon
465,Ascension,US,74.08,clear sky,30.2169,-90.9001,Highland Inn
468,Hovd,MN,61.38,clear sky,48.0056,91.6419,Hotel Khovd
473,Kamenka,RU,60.26,overcast clouds,51.3223,42.7678,
478,Palora,EC,62.58,broken clouds,-1.7,-77.9333,Rancho grande
479,Shelburne,CA,60.3,clear sky,44.0787,-80.2041,The Retreat at the Farm
480,Puerto Leguizamo,CO,71.08,overcast clouds,-0.1934,-74.7819,la casona de juancho
481,Carutapera,BR,77.43,overcast clouds,-1.195,-46.02,Lidera
482,Pangai,TO,76.95,light rain,-19.8,-174.35,Ha'apai Beach Resort
485,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
488,Wao,PH,74.77,broken clouds,7.6833,124.6833,Diomil Mountain Resort
489,Oktyabrskiy,RU,72.07,overcast clouds,54.4815,53.471,Гостиница Октябрьская
490,Santa Isabel Do Rio Negro,BR,72.93,scattered clouds,-0.4139,-65.0192,Hotel GSA
491,Madera,US,68.23,broken clouds,37.1666,-119.8343,
493,Raga,SS,77.81,few clouds,8.4596,25.678,
494,Zhangjiakou,CN,71.74,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
495,Hendek,TR,64.06,clear sky,40.7994,30.7481,Hendek Ogretmenevi
497,Arrifes,PT,70.23,few clouds,37.7667,-25.7,Hotel Ponta Delgada
498,Mineros,BO,70.52,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
499,Shambu,ET,60.15,light rain,9.5667,37.1,Wabe Hotel
501,Kropotkin,RU,65.41,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
502,Santa Cruz De Tenerife,ES,71.87,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
503,Bagan,RU,77.41,scattered clouds,54.1001,77.6646,Motel'
509,Debre Tabor,ET,60.42,light rain,11.85,38.0167,Bahirdar
512,Le Port,RE,78.76,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
514,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
515,Pokrovskoye,RU,65.93,clear sky,47.4157,38.8971,Тихий уголок
517,Noumea,NC,73.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
521,Calamar,CO,73.87,overcast clouds,10.2511,-74.9146,Hostal Katyalex
524,Chimore,BO,75.83,overcast clouds,-16.9833,-65.1333,Bichito
525,Yaan,NG,74.05,overcast clouds,7.3833,8.5667,
527,Laredo,US,79.09,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
528,Champasak,LA,76.44,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
530,Santa Isabel,BR,60.1,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
531,Huarmey,PE,60.87,scattered clouds,-10.0681,-78.1522,Hotel Miramar
533,Balkhash,KZ,77.61,clear sky,46.844,74.9804,Family
535,Viesca,MX,75.6,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
537,Ziro,IN,67.08,broken clouds,27.6333,93.8333,Ka-ngam homestay
543,Nuqui,CO,76.48,broken clouds,5.7125,-77.2708,Hotel Nuquimar
544,Sangmelima,CM,68.14,overcast clouds,2.9333,11.9833,gamestar hotel
545,Hirara,JP,78.8,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
548,Porto Walter,BR,73.6,moderate rain,-8.2686,-72.7439,Hotel Silva
549,Nuevo Progreso,MX,75.47,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
553,Jutai,BR,71.76,clear sky,-5.1833,-68.9,
554,Dracena,BR,70.23,clear sky,-21.4843,-51.535,Primum Palace
555,Sungaipenuh,ID,71.53,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
558,Zhongshu,CN,70.9,overcast clouds,24.5167,103.7667,Xintianlong Hotel
562,Aksay,RU,68.22,clear sky,47.26,39.87,Chernaya Zhemchuzhina
563,Nador,MA,73.65,scattered clouds,35.174,-2.9287,Hôtel La Giralda
566,Yumen,CN,77.88,clear sky,40.2833,97.2,
570,Turayf,SA,73.65,clear sky,31.6725,38.6637,Al Mudawah Hotel
571,Westport,US,66.24,overcast clouds,41.1415,-73.3579,The Westport Inn
572,Koroni,GR,76.06,overcast clouds,36.8,21.95,Apartments Xenios Zeus 1
573,Fukuma,JP,76.28,overcast clouds,33.7667,130.4667,Masago
574,Buchanan,LR,74.98,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
575,Kayes,ML,71.78,light rain,14.0,-11.0,
578,Salym,RU,62.35,overcast clouds,60.0625,71.4789,Gostinitsa Salym
583,Muros,ES,60.15,clear sky,42.7762,-9.0603,Apartment Av. Castelao
589,Bonthe,SL,75.45,light rain,7.5264,-12.505,Bonthe Holiday Village
591,Ulladulla,AU,67.77,light rain,-35.35,150.4667,Sandpiper Motel
594,Springdale,US,77.13,clear sky,36.1867,-94.1288,Springdale Inn
595,Mildura,AU,60.08,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
601,Komatipoort,ZA,65.05,light rain,-25.4332,31.9548,Kruger View Backpackers
604,Tiznit,MA,69.35,clear sky,29.5833,-9.5,
606,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
610,Kutum,SD,77.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
612,Necocli,CO,75.18,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
613,Poum,NC,76.44,clear sky,-20.2333,164.0167,
614,Da Lat,VN,68.47,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
617,Moree,AU,60.82,light rain,-29.4667,149.85,Molika Springs Motel
618,Naples,IT,70.14,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
620,Khani,GE,69.37,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
621,Pineville,US,73.29,mist,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
622,Nizhnevartovsk,RU,62.62,clear sky,60.9344,76.5531,Luch
624,Maceio,BR,69.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
625,Tucurui,BR,73.67,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
627,Batemans Bay,AU,64.09,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
633,Tamiahua,MX,74.41,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
635,Saint-Leu,RE,77.83,few clouds,-21.15,55.2833,La Caz Oceane
637,Tonantins,BR,69.73,scattered clouds,-2.8731,-67.8022,Hotel Hortensias
638,Yashkul,RU,75.24,overcast clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
640,Paita,PE,61.88,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
644,Lusambo,CD,79.61,overcast clouds,-4.9667,23.45,
645,Marsa Matruh,EG,78.13,clear sky,31.3525,27.2453,Beau Site
648,Mascota,MX,62.6,broken clouds,20.5167,-104.7833,Meson De Santa Elena Hotel
651,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
652,Lubango,AO,69.46,clear sky,-14.9172,13.4925,Hotel Serra da Chela
654,Rafai,CF,76.87,few clouds,4.95,23.9167,
657,Goderich,CA,64.9,clear sky,43.7501,-81.7165,Harmony Inn
658,Xining,CN,68.07,broken clouds,36.6167,101.7667,Super Leisure Hotel
665,Koulikoro,ML,72.21,light rain,14.0,-7.75,
666,Esik,KZ,78.22,broken clouds,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
667,Siloam Springs,US,75.81,clear sky,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
669,Machala,EC,68.5,overcast clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
670,Aguimes,ES,70.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
672,San Carlos Del Zulia,VE,72.52,scattered clouds,9.0,-71.9135,Hotel El Manantial
673,Santa Cruz Del Sur,CU,76.57,broken clouds,20.7147,-77.9956,
