City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Yar-Sale,RU,2022-09-20 21:31:37,66.8333,70.8333,50.52,93,90,16.8
187,Kandrian,PG,2022-09-20 21:31:38,-6.2167,149.55,78.6,85,100,0.6
188,Aswan,EG,2022-09-20 21:31:38,24.0934,32.907,83.86,29,0,9.57
189,Yokadouma,CM,2022-09-20 21:31:38,3.5167,15.05,69.66,99,67,1.23
190,San Jeronimo,PE,2022-09-20 21:31:39,-11.9472,-75.2829,59.68,53,98,5.84
191,Oum Hadjer,TD,2022-09-20 21:31:39,13.2954,19.6966,81.73,63,100,8.34
192,Sawtell,AU,2022-09-20 21:31:39,-30.3833,153.1,62.19,94,100,4.61
193,Chiredzi,ZW,2022-09-20 21:31:40,-21.05,31.6667,65.97,78,42,12.77
194,Castro,BR,2022-09-20 21:31:40,-24.7911,-50.0119,61.86,79,60,3.83
195,Buta,CD,2022-09-20 21:31:41,2.7858,24.73,67.39,99,100,1.77
196,Shu,KZ,2022-09-20 21:31:41,43.5983,73.7614,68.2,28,3,5.26
197,Mujiayingzi,CN,2022-09-20 21:31:41,42.1167,118.7833,47.77,34,0,7.92
198,Aginskoye,RU,2022-09-20 21:31:42,51.1,114.53,45.46,68,100,20.02
199,Geraldton,AU,2022-09-20 21:31:31,-28.7667,114.6,48.61,93,92,10.36
200,Provideniya,RU,2022-09-20 21:31:42,64.3833,-173.3,39.36,100,100,2.24
201,Torbay,CA,2022-09-20 21:31:42,47.6666,-52.7314,53.28,79,20,5.75
202,Mocajuba,BR,2022-09-20 21:31:43,-2.5842,-49.5072,86.65,52,55,7.38
203,Nizwa,OM,2022-09-20 21:31:43,22.9333,57.5333,82.6,49,12,1.59
204,Dharchula,IN,2022-09-20 21:31:44,29.85,80.5333,70.27,87,97,3.27
205,Vardo,NO,2022-09-20 21:31:44,70.3705,31.1107,39.18,87,100,13.8
206,Roma,US,2022-09-20 21:31:44,43.2128,-75.4557,66.38,81,100,13.8
207,Inhambane,MZ,2022-09-20 21:31:45,-23.865,35.3833,73.8,88,44,3.89
208,Hualmay,PE,2022-09-20 21:31:45,-11.0964,-77.6139,63.43,77,28,13.09
209,Sambava,MG,2022-09-20 21:31:45,-14.2667,50.1667,67.15,88,24,11.56
210,Launceston,AU,2022-09-20 21:31:46,-41.45,147.1667,49.8,93,40,0.0
211,Skjervoy,NO,2022-09-20 21:31:46,70.0311,20.9714,42.96,67,94,8.99
212,Tandil,AR,2022-09-20 21:26:47,-37.3217,-59.1332,53.69,40,92,5.14
213,Zharkent,KZ,2022-09-20 21:31:47,44.1628,80.0,66.99,33,5,3.96
214,Acapulco,MX,2022-09-20 21:28:45,16.8634,-99.8901,82.22,83,100,8.05
215,Tura,IN,2022-09-20 21:31:47,25.5198,90.2201,72.86,96,22,5.21
216,Maracaibo,VE,2022-09-20 21:31:47,10.6317,-71.6406,85.15,63,51,5.14
217,Larsnes,NO,2022-09-20 21:31:48,62.2028,5.5773,51.44,81,100,9.86
